N,P,K,temperature,humidity,ph,label
72,42,40,22.21396872,83.86101424,7.203256853,rice
90,58,43,20.29974112,84.23568879,5.56594609,rice
74,38,43,20.89464447,83.52383611,5.761671917,rice
79,44,38,20.39705099,81.57632494,7.225482367,rice
65,58,36,26.37028296,82.04141799,6.568903302,rice
77,45,39,23.36036792,80.90686289,5.452133905,rice
86,40,45,20.58320038,84.34124672,5.757528356,rice
79,43,41,26.72687179,83.10824125,5.382276346,rice
65,50,39,21.02096044,81.67158118,6.819210932,rice
84,43,42,20.96577677,80.32382211,7.072608511,rice
63,60,40,26.69134061,82.90940341,5.709745762,rice
99,57,45,20.13014504,80.15678781,5.453720455,rice
98,58,41,20.19843996,82.88505835,5.401791362,rice
88,55,40,21.72653837,81.76212987,5.934828303,rice
93,47,35,22.20369021,80.5139492,7.851751188,rice
75,50,45,22.093147,84.83754989,6.241290498,rice
73,45,44,20.39045178,82.03021141,7.503453137,rice
84,60,45,21.91820263,83.64896224,5.316382546,rice
69,36,39,24.08956033,82.48370182,5.635565367,rice
83,39,44,22.78134086,84.58148934,7.134585839,rice
97,49,41,25.21135916,80.86019485,5.760031059,rice
77,52,44,25.26408067,81.62543456,5.128689551,rice
76,52,42,23.59760332,80.48379809,6.223573363,rice
82,47,35,25.71352708,84.9509008,5.922626256,rice
63,54,41,21.05080652,82.45327833,7.707535762,rice
93,53,41,25.85313781,80.62614299,5.066333657,rice
89,40,35,23.5573273,84.43317515,5.909745256,rice
90,49,38,26.63791345,82.84851984,7.74473271,rice
70,54,39,20.82459707,83.85160719,7.408290325,rice
99,48,36,23.40280035,83.69064849,5.904686175,rice
72,38,41,20.17784782,84.78861367,6.38279361,rice
84,39,44,22.88013084,81.93656711,6.932585592,rice
93,47,41,24.84459018,81.90198782,5.547573704,rice
63,45,38,22.20757047,81.19650512,6.882559266,rice
63,42,41,20.50362766,82.06656845,5.245459217,rice
97,37,40,26.63850504,84.39294236,7.810953718,rice
68,49,44,20.33649855,81.13112468,7.441803735,rice
75,52,37,24.58209815,84.59698024,7.099262366,rice
97,59,37,22.37556838,81.71324951,5.106705303,rice
94,42,42,24.02601688,81.28168018,6.540917838,rice
82,45,38,20.05057112,83.70606749,7.830090695,rice
77,60,37,24.992191,82.57013107,5.286616903,rice
73,53,45,24.89213287,80.24316413,6.412087236,rice
73,38,39,26.50814963,82.17297826,6.936447435,rice
69,54,35,22.20895614,82.07155603,6.454094107,rice
99,49,42,20.10709021,82.14293169,5.327751727,rice
85,58,35,21.68782446,84.25615017,5.123282402,rice
82,35,36,20.7594039,83.4611393,5.192374423,rice
79,54,43,21.79288644,81.90016621,7.199392111,rice
60,40,38,20.16136312,84.76596373,7.409735812,rice
64,54,43,23.0679155,82.29669293,5.089567998,rice
64,56,39,25.53189496,82.01353029,7.659617791,rice
70,51,38,20.61570319,82.0401672,7.417944934,rice
70,45,42,23.81989623,82.22171557,5.130361561,rice
97,53,35,20.85845827,84.09114684,5.712861955,rice
90,41,40,24.99250968,84.19544796,5.406767983,rice
79,38,40,20.40350906,82.26694438,5.294053066,rice
61,36,39,25.03172109,82.28233077,6.223906343,rice
99,41,40,22.18935671,83.94904448,6.097520661,rice
93,59,38,24.86014557,81.58148842,6.547589816,rice
62,58,43,21.15140302,84.58218047,5.668972086,rice
94,54,43,21.85942789,81.65781484,6.984605921,rice
69,40,42,25.0733898,83.73653855,7.466046663,rice
62,53,40,21.92044755,82.13354402,6.456089421,rice
99,48,45,21.64215773,83.8683857,6.745369306,rice
88,35,45,22.66969331,81.67387728,6.281529015,rice
82,55,45,20.75989483,81.478517,5.55365424,rice
77,52,44,20.27156469,80.47084642,7.618204432,rice
88,50,36,22.44039944,82.35297983,7.328544338,rice
65,38,45,26.44491906,83.00255642,5.522099901,rice
91,49,42,20.16650656,82.0903139,5.308246855,rice
68,57,38,25.51859525,82.01569694,5.690134138,rice
77,44,37,23.50224975,83.82358087,5.472654757,rice
89,47,40,26.92567774,81.84678357,6.769302796,rice
93,55,37,21.99717308,84.66214913,5.045542221,rice
99,43,43,20.53625881,82.22016716,7.827428171,rice
90,37,36,26.87743191,82.72767592,5.580864899,rice
80,37,35,26.45655607,83.60647843,7.173381471,rice
62,53,43,22.61558328,81.7497251,5.702409455,rice
64,42,38,26.47173467,81.0819012,7.255323909,rice
93,60,43,22.43757562,83.72688721,5.158214521,rice
88,42,38,23.87782837,80.1371861,5.664714979,rice
93,58,35,21.73956645,84.52269124,5.746936025,rice
81,58,45,26.60353065,80.62205311,6.701153568,rice
88,42,38,26.6228638,82.11156652,7.563889322,rice
97,50,40,24.53378589,81.11894777,5.487017729,rice
78,57,40,25.76731233,83.1179221,7.809895596,rice
69,51,42,22.470334,83.7108895,7.246821017,rice
74,56,37,22.26742354,82.85607906,7.670390159,rice
81,56,40,22.73833051,84.6348887,7.609581184,rice
83,37,45,24.06751818,81.09102896,7.713706417,rice
87,52,36,25.62315462,84.53845888,5.305208118,rice
86,35,41,24.53726225,80.37081583,7.376515968,rice
74,59,40,21.20711481,81.65840632,6.214102112,rice
80,42,43,20.5132385,80.50807991,7.254962096,rice
79,60,43,24.94853972,80.58320009,7.78467923,rice
71,58,38,21.70407397,81.96288483,5.663126374,rice
87,39,41,20.2055532,80.21025517,7.789504019,rice
75,52,44,20.2025134,83.19489403,6.262597651,rice
85,38,35,21.22543007,82.46602993,6.307606171,rice
88,59,38,26.91438522,84.81682565,7.443089903,rice
88,41,42,26.54698891,81.31735262,5.995143677,rice
76,39,45,23.98967613,82.69891315,6.672954824,rice
60,52,36,26.39250832,81.12289319,5.049394952,rice
93,47,41,25.12165422,80.49269067,5.119907395,rice
95,44,44,23.03711733,82.60066735,5.151838939,rice
95,53,35,23.11783703,83.46813721,6.383804522,rice
86,35,42,20.20712854,84.08166631,5.038109783,rice
66,53,42,25.83142931,83.67627397,6.182518036,rice
72,57,41,21.51200711,80.86606485,7.620157455,rice
97,36,38,21.80545532,81.12688942,7.315368939,rice
73,51,36,20.4480572,80.56985161,7.160297425,rice
85,39,45,21.86502526,81.20511947,6.578045444,rice
64,45,45,24.0460475,84.92759044,5.01116664,rice
90,57,42,25.57914596,80.89892025,7.683770119,rice
84,48,45,20.85970636,84.43535206,5.898455514,rice
86,48,37,24.66484592,84.81643303,6.243118226,rice
89,54,38,23.28338708,81.39643386,5.673267982,rice
62,56,35,22.71211677,80.45621358,5.149136882,rice
93,59,36,20.49668902,80.92389019,7.002868848,rice
62,35,36,20.94957031,80.46791839,5.283929575,rice
93,56,44,20.49620961,82.2071793,5.192029134,rice
94,36,42,20.5863172,81.12138875,7.364368199,rice
87,42,41,25.73312842,81.43606455,6.387623042,rice
81,35,42,22.77626108,81.78064228,5.489031711,rice
87,40,35,22.21676066,83.38098029,6.596736471,rice
70,50,45,26.57427445,81.44559081,5.35771966,rice
85,39,36,20.37179417,83.43258508,5.36397925,rice
80,40,39,21.18206487,81.08150652,5.927522069,rice
84,36,37,21.83018147,84.17018767,6.374816806,rice
78,43,36,23.71383509,80.37185321,7.554819175,rice
70,36,37,21.71876668,80.2238535,5.742148365,rice
67,37,35,25.31864297,84.07265579,6.812440749,rice
80,39,36,25.37481646,84.58186454,7.059737398,rice
76,51,44,23.31454602,80.49549035,7.472068671,rice
94,57,36,22.77798573,83.49057448,7.108279586,rice
86,40,40,21.22545295,82.28227905,7.471888986,rice
68,36,45,25.2129629,84.46673587,5.648918608,rice
60,58,40,20.72967788,81.53882264,6.728345145,rice
75,42,45,20.45425103,83.56550121,7.072322363,rice
90,50,41,22.34743485,81.9295096,7.193629149,rice
89,45,45,23.85630143,82.51618117,5.162320351,rice
85,37,45,20.94018602,81.1311797,7.397665656,rice
89,38,37,26.7130288,82.48689934,5.575296817,rice
78,57,37,24.94275187,80.44008854,6.974175455,rice
75,53,41,24.29738375,82.03734612,6.974874552,rice
84,55,43,23.65223801,83.4289563,7.39380816,rice
62,50,36,26.73754504,83.27725668,6.675361604,rice
96,59,45,22.01150051,81.1923913,5.730423183,rice
79,49,37,24.42866157,82.94230892,7.862020541,rice
99,39,35,26.78055915,82.11718271,7.508869515,rice
60,50,39,26.78414062,83.51638201,5.581646583,rice
68,59,36,26.40362159,82.09612299,6.528082613,rice
96,36,43,22.47586831,83.11548587,6.958708905,rice
71,56,41,21.86337785,83.59175036,6.730007236,rice
90,47,43,25.06936004,80.47183743,6.591678699,rice
66,35,35,26.20878955,82.18867603,6.444335537,rice
97,48,45,22.4628409,81.37659967,6.323344414,rice
75,37,41,23.64579664,83.09548057,6.450748963,rice
73,57,39,25.36847926,82.83272759,5.682644508,rice
93,60,42,26.11347068,80.59889086,7.245110743,rice
62,49,35,20.1175557,84.2389541,6.632838043,rice
67,57,45,23.48730759,83.38249403,6.810774671,rice
83,44,39,20.63083982,80.79648852,6.344344161,rice
86,42,42,24.17233722,82.90767431,5.892532153,rice
72,37,42,26.56371499,80.97325945,5.225592721,rice
70,51,41,20.35188331,82.50651187,6.881497534,rice
74,48,43,20.90655518,81.93124071,7.0376239,rice
92,50,37,21.66238587,80.57108978,6.223896793,rice
65,57,40,24.10443999,82.45864088,5.899138192,rice
96,41,43,26.34982131,84.3990206,5.351459326,rice
86,41,41,23.68939675,84.46819947,7.40437914,rice
78,60,45,22.72056167,80.165019,5.927453541,rice
70,51,44,26.7883644,84.94399369,6.710117618,rice
96,60,42,25.29959327,82.63763514,7.100708838,rice
74,37,36,21.81852987,80.50774379,6.336590407,rice
66,40,35,23.27922582,81.8191298,7.777113651,rice
97,48,37,22.30319541,81.04198446,5.827088912,rice
62,41,38,25.75515055,82.67975703,6.71522659,rice
76,35,36,24.19985295,83.11770731,5.401400965,rice
60,50,44,26.12040938,80.86933279,7.502986723,rice
90,44,43,25.61425725,83.00295063,6.875870097,rice
91,51,44,20.37516949,82.59996425,5.772756869,rice
60,53,39,20.08706269,81.79906989,7.708280227,rice
61,36,40,21.31533464,80.48782369,5.316973716,rice
97,51,38,20.28152937,83.98476733,6.265023722,rice
77,48,37,25.19396071,81.27045753,6.735162719,rice
84,53,42,26.92805136,84.28424121,6.586814263,rice
95,55,35,26.23738704,82.72924624,6.245663541,rice
73,36,38,22.26824461,81.11360321,5.627200377,rice
86,42,41,24.97988168,82.44527433,5.872920301,rice
71,40,36,21.21489182,82.1682217,6.220052622,rice
67,38,36,23.26359435,83.44561357,5.094821851,rice
70,59,39,23.30708005,82.86661102,5.813333142,rice
76,57,38,25.66507341,84.81094262,7.106873796,rice
89,49,42,23.11114644,84.01896753,5.537561631,rice
78,46,45,24.04120532,84.55664998,6.557030277,rice
66,47,35,22.90156743,81.69207413,6.643616963,rice
63,54,41,20.67920244,80.8797186,7.026704356,rice
90,42,37,25.68080553,81.92086533,6.664118464,rice
84,46,42,26.75477252,80.54035684,6.24975115,rice
78,60,45,23.06033527,83.93321095,7.364524684,rice
91,48,22,25.27460946,58.79352817,6.218972554,maize
66,57,22,20.3520014,73.02238843,5.696984405,maize
93,52,17,24.8103596,62.64306425,6.204138247,maize
82,41,24,23.4577249,66.8464201,5.956433126,maize
85,54,18,21.1115564,74.65346529,6.551477733,maize
66,53,15,19.03555875,71.03017087,5.593675051,maize
65,54,21,19.44382161,58.17188263,5.986906506,maize
65,39,24,23.06364971,66.45337026,6.36335856,maize
78,43,21,20.88800211,67.90901359,6.077190261,maize
77,37,18,26.47832082,60.08043527,6.744375894,maize
90,59,16,25.16564092,67.03586958,5.586845965,maize
64,41,21,25.64710499,71.36078756,6.622479541,maize
60,48,17,20.70361406,55.81670407,5.661684883,maize
90,44,23,23.52821897,60.27325945,5.52923125,maize
80,48,16,25.64029968,71.13066778,6.22624718,maize
96,42,22,20.89037233,68.51213811,6.687959335,maize
90,59,24,25.5967603,64.18687155,6.491928867,maize
70,41,23,24.64000804,73.72512953,5.692181406,maize
76,46,16,18.53380816,70.70683999,5.94783815,maize
82,54,22,24.38423698,57.89447569,6.557475003,maize
98,59,22,22.92327489,70.8010963,5.798537271,maize
86,39,19,23.6964224,65.379803,6.014038897,maize
83,43,19,19.14390522,69.84568203,6.853348667,maize
91,41,15,25.80433058,60.82891798,5.86646966,maize
83,60,22,21.61433838,71.24244743,6.388352107,maize
83,50,17,19.86026613,67.75747597,6.631829732,maize
85,48,23,24.36316606,61.03632679,6.516728447,maize
76,39,25,20.89292709,66.00051257,5.704796973,maize
72,55,25,18.30376537,65.40996912,6.913052674,maize
89,43,24,18.6303499,71.2143439,6.156880875,maize
95,39,23,24.77597756,71.90326246,5.816740752,maize
87,45,20,21.81410247,73.43056405,5.555893809,maize
87,52,19,22.54053355,71.80932984,6.872359914,maize
76,56,24,26.22332817,70.84751172,6.169622261,maize
63,51,23,20.08691939,65.25538552,5.833390361,maize
77,44,24,26.27970502,66.18606591,5.961933745,maize
79,48,15,23.97367307,56.85050032,6.414006297,maize
91,60,21,24.2388422,59.31635904,6.762683703,maize
83,56,20,19.72100176,57.35474669,6.437981091,maize
92,45,20,26.51386288,55.64713793,6.173711194,maize
99,54,23,22.61988096,67.47064847,6.307073611,maize
81,36,16,25.12335171,72.10179424,5.628293536,maize
97,55,24,26.07391404,67.18709538,5.536460898,maize
70,41,23,18.51090754,72.80433023,6.810951128,maize
63,35,25,24.62316918,56.14209488,6.390248297,maize
71,41,17,23.76879425,66.771545,6.458022085,maize
75,37,19,18.62003406,56.95363611,6.921313714,maize
97,37,21,21.76470102,71.99330412,6.50158879,maize
68,37,15,22.34721718,64.52495964,6.346672472,maize
97,56,23,21.19985146,74.09167396,6.93783453,maize
84,37,15,19.52601971,58.51635066,6.54939075,maize
76,60,24,19.92389345,68.29068875,5.650122752,maize
63,41,21,24.40594942,69.09940183,5.596792252,maize
60,39,18,22.30007067,68.79658906,6.308680437,maize
80,59,24,23.75573358,59.3032297,5.530066407,maize
61,45,19,22.6812463,61.58466871,5.771167515,maize
91,57,20,25.31901999,69.71855088,5.908131941,maize
81,49,20,26.33694933,74.42368067,6.133420408,maize
97,48,16,25.05335023,58.84861628,6.751690677,maize
92,50,21,18.48811788,55.81793629,6.074283431,maize
92,38,15,19.54195547,74.26176118,6.583428004,maize
96,60,23,22.33791119,67.83403859,6.856168815,maize
81,45,19,23.49134993,73.78437192,6.396090674,maize
64,54,20,21.13257678,72.78245208,6.357400856,maize
88,48,17,26.07227383,59.37379401,5.905918428,maize
92,49,24,23.39251885,73.87936204,6.085529129,maize
81,35,21,19.00371757,69.51739007,6.963353164,maize
83,57,15,25.67782017,62.06901597,6.081973294,maize
76,55,15,24.82883047,63.09151116,6.276444119,maize
60,44,18,25.30864451,65.05154648,6.038084976,maize
89,46,16,19.90235436,73.79519059,5.589648597,maize
90,43,22,20.5904657,56.29680846,6.03471051,maize
95,44,20,22.45084688,73.95649415,6.471618263,maize
67,36,18,20.37726529,68.05674607,5.728836624,maize
67,35,16,25.62263851,74.57865931,6.70164516,maize
77,44,24,20.11358437,64.85550859,5.925256917,maize
99,37,17,23.73554541,69.62993064,6.641021736,maize
62,52,16,26.39188853,74.17816849,6.080486307,maize
86,43,25,25.40895867,66.13110831,6.339734143,maize
97,41,24,26.47592694,62.87169205,5.931168429,maize
66,43,22,21.70337956,64.71182687,6.406614117,maize
60,59,15,26.24361274,61.65854267,5.986322862,maize
73,42,22,21.99102534,69.93063635,6.325499654,maize
86,59,17,20.86065521,74.09762712,5.532415476,maize
88,37,17,23.01316599,61.73045813,6.135082932,maize
67,50,24,19.8002243,55.30666172,5.749600254,maize
69,38,18,25.3163753,56.82335098,5.585873672,maize
82,59,18,26.04718475,58.1603675,6.422763228,maize
98,58,16,25.00190882,64.49866596,6.37668131,maize
61,37,16,26.21665515,63.05777113,6.985506748,maize
98,60,22,21.07013859,60.87346966,6.668256747,maize
96,47,17,26.0984685,69.88932839,6.59132191,maize
100,52,19,22.07524073,56.62792011,6.302782783,maize
90,37,15,20.36800474,64.2680949,6.436147892,maize
91,48,15,18.73319375,68.01247757,6.098458367,maize
84,40,21,22.73624717,62.64354742,6.091353261,maize
65,59,20,18.52776964,72.66066722,5.861133624,maize
74,42,15,25.27107424,68.27567159,6.329063546,maize
66,59,17,19.24380169,70.56126573,5.752579924,maize
74,60,15,21.03495754,65.50356419,6.36392092,maize
68,52,17,20.85745828,64.11182395,6.420987938,maize
88,55,15,23.37083712,69.22281582,6.742685666,maize
90,38,20,26.31279839,64.51763381,5.776176291,maize
63,52,25,25.51654193,61.23306812,6.501118237,maize
65,51,24,26.45963353,70.29220113,6.929378693,maize
72,58,16,18.1280184,70.54411304,6.225927328,maize
92,48,22,18.18226806,61.28734642,6.678520441,maize
97,37,19,18.29367988,72.65700038,6.382761772,maize
87,39,23,21.09478779,66.25521585,5.971412434,maize
87,39,15,20.24700651,74.29034402,6.495901823,maize
65,42,19,23.65226831,61.33995867,6.484821686,maize
69,58,20,23.18479486,57.09690135,6.086017605,maize
65,35,25,18.36251081,59.51020848,6.872012657,maize
72,44,20,20.05342711,65.0134924,6.555688622,maize
88,35,20,25.19387171,72.93934345,6.422927187,maize
90,58,24,22.23950808,64.56810842,6.898964942,maize
84,41,20,19.87668073,64.33456586,6.435998927,maize
63,47,15,26.38363609,70.93716592,6.512698826,maize
93,56,24,22.5108264,64.63144984,6.032424294,maize
93,58,16,25.76144991,57.92500075,5.748120299,maize
93,38,21,23.38692344,65.38449254,6.356340138,maize
90,37,25,26.54620265,55.53778111,6.216841781,maize
86,43,17,25.90282738,57.50289541,6.027384382,maize
83,38,16,18.13506357,68.31456254,6.275221333,maize
77,35,16,19.27916224,72.96577877,6.808268267,maize
70,57,15,22.14457701,72.82462958,6.78614841,maize
77,43,18,23.88193853,72.32430115,5.533994365,maize
76,52,21,20.62665774,73.2515093,5.748482393,maize
94,49,24,22.39660288,59.58217463,6.255732592,maize
96,44,25,23.57334043,57.71514989,6.729295595,maize
67,43,21,18.6934186,57.32462751,6.54612293,maize
94,46,22,24.49975207,72.71080963,6.749154021,maize
96,43,17,21.11097749,71.99963879,5.917370429,maize
82,39,22,26.03740974,56.64302324,5.566630526,maize
66,37,25,20.3233589,58.78790157,6.59734951,maize
93,53,21,18.40777688,69.4479691,6.021267194,maize
82,42,16,20.31237059,60.34552323,6.170821875,maize
83,46,20,21.86746231,74.16464252,5.617936224,maize
63,44,22,26.49174039,65.22545589,6.194583451,maize
88,50,23,18.91752807,65.53045829,5.791932934,maize
82,44,18,24.77703327,67.1521455,5.865757263,maize
64,45,23,25.73056285,61.10809407,5.772941854,maize
77,52,22,18.91434843,62.32047885,6.395928444,maize
62,48,23,23.97504634,65.93922374,5.68472523,maize
99,35,24,21.40572727,69.73862762,6.558741461,maize
65,45,21,20.8337978,74.81562904,6.058572966,maize
99,43,23,25.89607189,70.97283505,6.531345082,maize
74,59,15,20.44062586,69.01605377,6.065249124,maize
63,58,20,22.33915488,74.01971694,6.726651651,maize
83,46,25,21.36324214,56.74423705,6.382567053,maize
69,53,22,22.10846493,66.34704875,6.85238658,maize
64,49,18,19.44262902,71.008549,6.098107413,maize
75,46,20,21.72122489,60.61205857,6.229863455,maize
71,47,20,18.44046517,64.72551636,5.597779966,maize
88,53,20,18.49593528,69.04446437,6.315165086,maize
100,52,25,22.33616352,58.60668591,6.875957272,maize
94,58,23,21.47329465,58.39048508,6.778831646,maize
62,50,21,25.41562757,67.82404813,6.768340132,maize
91,55,19,24.51951681,56.72219937,6.533970121,maize
69,60,25,20.35333192,61.72804344,6.174620185,maize
69,48,18,22.83712464,64.61598559,6.142278968,maize
73,43,24,23.39670716,60.45570311,6.831661533,maize
87,55,15,19.88749603,70.66761382,5.971962766,maize
83,53,15,21.62230911,56.59291893,6.505332492,maize
96,48,17,25.17399981,57.09017408,6.379034343,maize
86,36,24,23.8880841,72.80624564,6.677252628,maize
99,58,15,19.08447562,61.30365538,6.130056304,maize
64,58,17,25.78403011,57.67898262,6.61679103,maize
85,55,15,22.95474446,70.94635018,6.457167042,maize
63,60,25,24.58220218,67.29791811,5.946805894,maize
79,53,21,24.11566383,58.04867823,5.515137451,maize
69,40,22,24.63202193,55.40310512,6.451005076,maize
84,35,17,25.46896052,60.73203007,6.592433271,maize
63,37,19,22.93304149,72.3754271,6.35097276,maize
63,48,23,24.82754446,63.53924348,6.844271707,maize
84,40,15,25.98358651,65.67277664,5.621025911,maize
96,57,18,20.73961225,69.34668299,6.904873988,maize
87,53,23,18.30972245,59.67424463,5.912820935,maize
99,41,19,22.86012828,66.45752209,6.926988155,maize
65,58,18,25.1720487,56.33365933,6.864724463,maize
83,45,18,25.84670788,60.0963621,6.299936127,maize
89,47,25,20.49272539,69.04824234,6.632234088,maize
75,35,25,26.38604939,62.9702474,6.48509612,maize
96,35,16,26.2509801,65.12068595,6.621665598,maize
93,52,20,25.70367034,68.8654819,6.231959272,maize
60,47,24,24.63754074,62.82691148,5.604983477,maize
93,46,25,19.61105021,56.29122121,5.672864973,maize
86,53,16,18.30338368,56.36789088,6.556080512,maize
92,37,23,21.69229807,74.11807749,6.27159334,maize
77,36,21,20.06555566,69.99443629,6.430952682,maize
79,59,21,24.84900394,58.79113105,5.735049702,maize
87,50,25,26.52557612,63.29213576,5.600719692,maize
93,50,17,24.37179897,66.53761944,6.892890807,maize
84,44,21,18.09937669,72.54538799,6.460586424,maize
72,52,22,23.03280628,63.08495128,6.49316465,maize
71,44,25,22.08329049,73.77809175,5.824140457,maize
64,47,25,24.61059318,63.91360271,6.620186997,maize
79,48,16,23.870812,61.64050585,5.670513296,maize
74,48,25,25.00668731,62.86638101,6.354073077,maize
100,47,18,24.8191615,61.01951261,6.191684256,maize
89,56,22,24.60956888,59.9319539,5.618740294,maize
60,51,24,25.24536415,55.97737464,6.774893699,maize
99,35,23,20.03756669,62.37474052,5.572188514,maize
68,45,16,24.20733625,68.80097002,6.053012068,maize
67,37,23,24.75874509,59.11149401,6.82339159,maize
67,60,19,25.39493797,66.75990961,6.863704142,maize
83,38,23,25.35334296,63.45693678,5.669284483,maize
92,35,24,24.53983467,72.3349358,5.930024609,maize
74,37,19,22.79532336,64.83216336,5.629295969,maize
78,47,22,19.30559623,66.5504022,6.532816267,maize
66,59,23,20.0350624,66.57794505,5.653927147,maize
63,44,17,25.35439022,66.10161578,6.656133766,maize
68,36,23,21.04090694,65.45399471,6.983618737,maize
97,41,24,26.0450666,63.23217289,6.532984889,maize
69,41,22,20.89664302,55.28960796,6.442340312,maize
67,36,25,25.31660007,73.1565137,6.753380079,maize
75,47,21,19.02732074,71.7375379,5.912736049,maize
